,Ranking,Players,Atp_points,Ages,Turned Pro,Weight,height,W-L Year,W-L Career,Title Year,Title Career,Career High Date,Career High Rank,Year Price Money,Career Price Money,Aces,Double Faults,First Serves,First Serve Points Won,Second Serve Points Won,Break Points Faced,Break Points Saved,Service Games Played,Service Games Won,Total Service Points Won,1st Serve Return Points Won,2nd Serve Return Points Won,Break Points Opportunities,Break Points Converted,Return Games Played,Return Games Won,Return Points Won,Total Points Won
207,208,Lloyd Harris,279,26,2015,176lbs(80kg),"6'4""(193cm)",4-5,73-74,0,0,Career High 2021.09.13,31,"$286,841","$3,461,475","1,318",282,65%,74%,48%,770,61%,"1,582",81%,65%,26%,47%,703,38%,"1,594",17%,34%,49%
208,209,Mate Valkusz,279,24,,165lbs(75kg),"6'0""(183cm)",0-0,0-3,0,0,Career High 2023.06.12,204,"$38,451","$146,066",2,5,66%,50%,54%,15,60%,12,50%,51%,33%,69%,8,75%,12,50%,50%,51%
209,210,Adrian Andreev,278,22,2016,145lbs(66kg),"5'11""(180cm)",0-0,2-7,0,0,Career High 2022.12.19,189,"$105,242","$251,166",9,24,63%,59%,53%,66,55%,87,66%,57%,26%,50%,44,43%,90,21%,35%,46%
210,211,Altug Celikbilek,277,26,2015,162lbs(73kg),"6'0""(183cm)",1-0,12-11,0,0,Career High 2022.02.21,154,"$70,116","$471,995",46,31,59%,72%,48%,61,62%,95,76%,62%,23%,51%,39,49%,93,20%,34%,49%
211,212,Shintaro Mochizuki,276,20,,154lbs(70kg),,0-0,0-6,0,0,Career High 2023.06.19,197,"$49,315","$179,320",4,20,56%,57%,39%,48,50%,48,50%,49%,26%,52%,26,38%,50,20%,37%,43%
212,213,Rio Noguchi,275,24,,138lbs(63kg),"5'6""(168cm)",0-0,1-1,0,0,Career High 2022.11.07,201,"$85,513","$225,928",1,5,70%,69%,44%,13,54%,23,74%,62%,18%,50%,6,33%,24,8%,31%,46%
213,214,Raphael Collignon,271,21,,189lbs(86kg),"6'3""(191cm)",0-0,0-0,0,0,Career High 2023.05.22,210,"$70,376","$106,383",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
214,215,Alexis Galarneau,271,24,,175lbs(79kg),"5'11""(180cm)",0-0,0-2,0,0,Career High 2022.11.21,204,"$43,945","$161,856",6,6,60%,78%,41%,6,50%,11,73%,63%,19%,44%,1,100%,11,9%,26%,46%
215,216,Gauthier Onclin,271,22,,169lbs(77kg),"5'11""(180cm)",0-0,0-0,0,0,Career High 2023.06.12,202,"$78,340","$133,567",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
216,217,Jakub Mensik,270,17,,184lbs(83kg),"6'3""(191cm)",0-0,0-0,0,0,Career High 2023.06.26,215,"$29,593","$56,460",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
217,218,Giovanni Mpetshi Perricard,268,20,2021,216lbs(98kg),"6'8""(203cm)",0-2,0-2,0,0,Career High 2023.06.26,216,"$106,270","$177,046",26,17,57%,78%,48%,17,71%,36,86%,65%,26%,43%,14,21%,37,8%,31%,48%
218,219,Steve Johnson,267,33,2012,190lbs(86kg),"6'2""(188cm)",1-3,196-201,0,4,Career High 2016.07.25,21,"$80,951","$7,921,118","3,325","1,224",59%,75%,52%,"2,373",66%,"5,015",84%,66%,25%,46%,"2,245",36%,"4,972",16%,33%,50%
219,220,Kamil Majchrzak,265,27,2013,173lbs(78kg),"5'11""(180cm)",0-0,30-41,0,0,Career High 2022.02.28,75,,"$1,949,805",308,145,60%,71%,50%,401,61%,699,77%,63%,25%,51%,342,36%,688,18%,35%,49%
220,221,Stefano Travaglia,265,31,2008,176lbs(80kg),"6'1""(185cm)",0-1,30-55,0,0,Career High 2021.02.08,60,"$37,855","$2,214,881",615,289,55%,72%,48%,612,57%,"1,085",75%,61%,29%,46%,540,40%,"1,082",20%,35%,49%
221,222,Federico Gaio,263,31,2009,182lbs(83kg),"5'10""(178cm)",0-0,3-15,0,0,Career High 2020.02.03,124,"$65,700","$996,740",90,82,55%,70%,48%,154,60%,214,71%,60%,27%,45%,96,36%,218,16%,34%,47%
222,223,Tung-Lin Wu,262,25,2016,179lbs(81kg),"6'2""(188cm)",1-2,7-7,0,0,Career High 2023.04.03,158,"$129,364","$408,074",13,9,64%,64%,53%,39,64%,57,75%,60%,25%,51%,39,23%,57,16%,36%,48%
223,224,Santiago Rodriguez Taverna,262,23,2016,181lbs(82kg),"6'3""(191cm)",0-0,0-1,0,0,Career High 2022.08.29,157,"$67,284","$305,239",9,7,62%,71%,39%,17,59%,25,72%,59%,31%,47%,9,78%,25,28%,35%,47%
224,225,Sumit Nagal,261,25,2015,152lbs(69kg),"5'10""(178cm)",1-2,8-19,0,0,Career High 2020.08.24,122,"$38,773","$651,603",23,51,71%,60%,46%,153,56%,189,64%,56%,29%,51%,128,32%,195,21%,37%,47%
225,226,Nick Hardt,260,22,,185lbs(84kg),"6'0""(183cm)",0-1,3-4,0,0,Career High 2022.12.12,201,"$78,095","$176,077",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
226,227,Renzo Olivo,260,31,2009,160lbs(73kg),"5'10""(178cm)",0-0,23-33,0,0,Career High 2017.01.09,78,"$86,268","$1,340,263",173,268,59%,66%,47%,501,57%,673,68%,58%,31%,49%,397,38%,674,22%,38%,48%
227,228,Nerman Fatic,257,28,2014,193lbs(88kg),"6'3""(191cm)",0-0,3-4,0,0,Career High 2022.10.03,195,"$22,018","$159,618",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
228,229,Luciano Darderi,256,21,,180lbs(82kg),"6'0""(183cm)",1-2,1-2,0,0,Career High 2022.10.17,168,"$108,640","$217,815",12,9,48%,76%,46%,19,63%,29,76%,61%,25%,43%,10,30%,27,11%,31%,47%
229,230,Edoardo Lavagno,254,24,,167lbs(76kg),"6'1""(185cm)",0-0,0-0,0,0,Career High 2023.06.19,223,"$34,401","$78,793",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
230,231,Cem Ilkel,253,27,2013,179lbs(81kg),"6'1""(185cm)",1-0,9-28,0,0,Career High 2021.11.29,144,"$61,994","$678,063",66,39,62%,64%,47%,118,52%,177,68%,57%,24%,42%,50,42%,184,11%,30%,44%
231,232,Dane Sweeny,253,22,,138lbs(63kg),"5'7""(170cm)",0-0,1-1,0,0,Career High 2023.06.19,225,"$69,197","$239,066",3,13,63%,64%,39%,14,50%,20,65%,55%,30%,44%,12,33%,20,20%,35%,45%
232,233,Oscar Otte,251,29,2011,174lbs(79kg),"6'4""(193cm)",3-4,9-15,0,0,Career High 2022.06.27,161,"$26,885","$2,331,021",647,326,57%,75%,49%,526,62%,994,80%,64%,28%,48%,484,38%,987,19%,35%,50%
233,234,Evgeny Donskoy,251,33,2007,165lbs(75kg),"6'1""(185cm)",0-0,55-117,0,0,Career High 2013.07.08,65,"$43,941","$3,377,507",818,389,58%,70%,50%,"1,199",61%,"1,994",77%,62%,25%,46%,881,35%,"2,018",15%,34%,48%
234,235,Abdullah Shelbayh,250,19,,163lbs(74kg),"6'0""(183cm)",1-4,1-4,0,0,Career High 2023.07.03,235,"$82,753","$109,992",20,20,55%,66%,41%,43,58%,50,64%,55%,33%,49%,25,56%,53,26%,39%,47%
235,236,Marco Trungelliti,250,33,2008,176lbs(80kg),"5'10""(178cm)",0-1,13-20,0,0,Career High 2019.03.04,112,"$88,145","$1,524,124",139,134,58%,67%,49%,319,59%,463,72%,59%,30%,48%,249,40%,469,21%,37%,48%
236,237,Adam Walton,250,24,,170lbs(77kg),"6'0""(183cm)",0-0,0-0,0,0,Career High 2023.07.03,237,"$49,245","$78,735",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
237,238,Aziz Dougaz,249,26,2020,180lbs(82kg),"6'2""(188cm)",0-1,4-8,0,0,Career High 2023.06.12,214,"$43,215","$199,860",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
238,239,Terence Atmane,249,21,,176lbs(80kg),"6'4""(193cm)",0-0,0-0,0,0,Career High 2023.06.19,238,"$39,847","$78,669",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
239,240,Tennys Sandgren,247,31,2011,195lbs(88kg),"6'2""(188cm)",0-0,47-75,0,1,Career High 2019.01.14,41,"$25,565","$3,497,699","1,040",331,61%,73%,48%,861,61%,"1,589",79%,63%,26%,47%,708,37%,"1,585",16%,34%,49%
240,241,Alessandro Giannessi,247,33,2008,180lbs(82kg),"6'1""(185cm)",0-1,13-23,0,0,Career High 2017.07.24,84,"$62,804","$1,358,191",130,153,65%,65%,48%,386,63%,478,71%,59%,29%,49%,273,38%,476,22%,37%,48%
241,242,Andrea Pellegrino,246,26,2016,179lbs(81kg),"6'1""(185cm)",0-0,1-1,0,0,Career High 2022.09.26,136,"$91,494","$501,889",1,4,70%,58%,39%,13,38%,19,58%,53%,34%,53%,10,50%,21,24%,41%,46%
242,243,Beibit Zhukayev,245,22,,202lbs(92kg),"6'5""(196cm)",0-0,0-1,0,0,Career High 2023.06.19,236,"$28,467","$96,641",3,3,59%,45%,35%,14,57%,7,14%,41%,10%,56%,1,100%,7,14%,30%,37%
243,244,Mark Lajal,244,20,,171lbs(78kg),"6'2""(188cm)",0-0,1-2,0,0,Career High 2023.06.19,233,"$24,814","$46,863",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
244,245,Nicolas Mejia,243,23,2019,175lbs(79kg),"6'0""(183cm)",1-1,2-7,0,0,Career High 2023.04.17,228,"$38,999","$158,123",3,3,64%,69%,30%,5,20%,9,56%,55%,19%,45%,3,0%,8,0%,30%,43%
245,246,Li Tu,242,27,,182lbs(83kg),"5'11""(180cm)",0-1,0-3,0,0,Career High 2022.10.17,190,"$70,157","$266,823",39,7,61%,76%,62%,11,36%,43,84%,71%,17%,41%,9,33%,44,7%,29%,49%
246,247,Roman Andres Burruchaga,242,21,,176lbs(80kg),"6'0""(183cm)",0-0,0-0,0,0,Career High 2023.06.12,222,"$18,154","$77,436",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
247,248,Francisco Comesana,236,22,,158lbs(72kg),"5'10""(178cm)",0-0,0-0,0,0,Career High 2023.06.12,174,"$36,252","$125,671",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
248,249,Juan Pablo Ficovich,234,26,2015,172lbs(78kg),"6'3""(191cm)",0-0,1-2,0,0,Career High 2022.07.25,125,"$90,488","$436,085",6,3,70%,64%,44%,21,52%,31,68%,58%,28%,47%,11,55%,31,19%,34%,47%
249,250,Alex Michelsen,233,18,,175lbs(79kg),"6'4""(193cm)",0-1,0-1,0,0,Career High 2023.06.19,246,"$37,177","$59,045",7,4,64%,75%,64%,4,50%,16,88%,71%,20%,55%,1,0%,17,0%,27%,49%
250,251,Gianluca Mager,232,28,2013,170lbs(77kg),"6'2""(188cm)",0-0,25-35,0,0,Career High 2021.11.22,62,"$54,092","$1,581,542",388,184,61%,71%,50%,446,64%,743,78%,63%,27%,46%,345,39%,758,18%,34%,49%
251,252,Yuta Shimizu,231,24,,136lbs(62kg),"5'4""(163cm)",0-0,0-0,0,0,Career High 2023.06.19,143,"$6,826","$144,056",1,3,50%,52%,41%,7,29%,8,38%,47%,23%,60%,5,20%,8,13%,34%,41%
252,253,Matheus Pucinelli De Almeida,229,22,,171lbs(78kg),"6'0""(183cm)",1-0,3-1,0,0,Career High 2022.09.26,190,"$37,834","$199,814",3,2,76%,58%,38%,14,43%,17,53%,53%,27%,64%,11,45%,17,29%,44%,48%
253,254,Henri Laaksonen,225,31,2009,172lbs(78kg),"6'1""(185cm)",0-0,51-75,0,0,Career High 2022.02.14,84,"$69,620","$2,366,023",559,386,58%,69%,48%,802,58%,"1,228",73%,60%,28%,49%,649,39%,"1,247",21%,36%,49%
254,255,Guido Andreozzi,225,31,2010,172lbs(78kg),"6'0""(183cm)",0-1,11-26,0,0,Career High 2019.01.28,70,"$34,701","$1,416,437",147,176,61%,69%,46%,329,61%,457,72%,60%,26%,48%,226,38%,466,18%,35%,47%
255,256,Matteo Gigante,225,21,,149lbs(68kg),"5'11""(180cm)",0-0,0-0,0,0,Career High 2023.02.27,192,"$106,535","$160,864",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
256,257,Vit Kopriva,223,26,2015,152lbs(69kg),"5'10""(178cm)",0-0,5-5,0,0,Career High 2022.07.18,124,"$96,505","$411,312",18,24,57%,67%,51%,47,45%,79,67%,60%,36%,59%,65,46%,79,38%,44%,52%
257,258,Lorenzo Giustino,222,31,2007,176lbs(80kg),"5'11""(180cm)",0-1,1-7,0,0,Career High 2019.08.12,127,"$56,763","$869,456",21,30,59%,60%,44%,83,43%,106,56%,53%,26%,37%,29,45%,103,13%,30%,42%
258,259,Hernan Casanova,220,29,,168lbs(76kg),"5'10""(178cm)",0-1,0-2,0,0,Career High 2022.10.24,160,"$4,860","$243,709",1,2,61%,64%,44%,10,70%,9,67%,57%,6%,58%,1,0%,9,0%,26%,44%
259,260,Rudolf Molleker,220,22,2017,165lbs(75kg),"6'1""(185cm)",0-0,4-10,0,0,Career High 2019.07.29,146,"$26,558","$478,837",111,53,60%,69%,49%,103,60%,180,77%,61%,18%,45%,67,27%,179,10%,29%,46%
260,261,Salvatore Caruso,219,30,2010,176lbs(80kg),"6'1""(185cm)",0-0,19-44,0,0,Career High 2020.11.16,76,"$29,702","$1,962,866",209,175,60%,65%,49%,555,59%,772,70%,59%,27%,51%,452,36%,786,21%,36%,48%
261,262,Mikhail Kukushkin,217,35,2006,159lbs(72kg),"6'0""(183cm)",0-0,172-232,0,1,Career High 2019.02.25,39,"$43,196","$6,824,438","1,145",558,61%,66%,51%,"2,870",60%,"4,344",74%,60%,28%,51%,"2,385",41%,"4,409",22%,37%,49%
262,263,Mitchell Krueger,217,29,2012,180lbs(82kg),"6'2""(188cm)",0-0,7-17,0,0,Career High 2022.07.18,135,"$58,615","$1,194,239",102,55,63%,67%,49%,164,55%,267,73%,61%,24%,48%,120,37%,274,16%,33%,47%
263,264,Michael Geerts,215,28,,158lbs(72kg),"5'10""(178cm)",0-0,1-1,0,0,Career High 2023.04.03,162,"$7,825","$248,822",1,2,55%,57%,37%,5,20%,8,50%,48%,14%,57%,0,0%,8,0%,21%,35%
264,265,Facundo Mena,213,30,,178lbs(81kg),"6'0""(183cm)",0-0,0-1,0,0,Career High 2022.09.12,127,"$29,733","$472,650",3,2,54%,79%,48%,7,71%,10,80%,65%,36%,36%,6,17%,11,9%,36%,50%
265,266,Benjamin Hassan,213,28,,187lbs(85kg),"6'0""(183cm)",1-1,11-5,0,0,Career High 2023.04.24,260,"$26,512","$118,973",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
266,267,Yasutaka Uchiyama,209,30,2011,172lbs(78kg),"6'0""(183cm)",0-0,11-27,0,0,Career High 2019.11.04,78,"$38,066","$1,407,018",244,79,61%,72%,49%,236,60%,418,77%,63%,24%,47%,196,30%,425,14%,33%,48%
267,268,Ryan Peniston,207,27,,165lbs(75kg),"5'11""(180cm)",1-2,6-6,0,0,Career High 2022.07.18,123,"$117,307","$509,454",52,34,64%,70%,52%,65,60%,132,80%,64%,27%,54%,75,35%,135,19%,37%,50%
268,269,Lukas Neumayer,207,20,2021,154lbs(70kg),"6'0""(183cm)",0-0,0-1,0,0,Career High 2023.06.19,267,"$18,308","$78,349",1,4,62%,71%,50%,10,50%,17,71%,63%,22%,54%,10,30%,17,18%,38%,50%
269,270,Daniel Michalski,205,23,2018,169lbs(77kg),"5'11""(180cm)",0-4,1-4,0,0,Career High 2022.07.25,243,"$58,758","$141,788",3,5,69%,59%,44%,22,55%,25,60%,54%,15%,42%,5,0%,26,0%,25%,40%
270,271,Patrick Kypson,203,23,2019,180lbs(82kg),"6'2""(188cm)",0-1,0-2,0,0,Career High 2023.07.03,271,"$93,055","$204,916",6,4,62%,52%,44%,37,57%,31,48%,49%,26%,55%,17,47%,32,25%,37%,43%
271,272,Dan Added,202,24,,165lbs(75kg),"6'0""(183cm)",0-1,3-5,0,0,Career High 2023.06.12,89,"$28,750","$230,875",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
272,273,Alejandro Moro Canas,201,22,,171lbs(78kg),"6'0""(183cm)",0-0,0-0,0,0,Career High 2023.05.22,267,"$23,290","$76,363",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
273,274,Oliver Crawford,199,24,2020,185lbs(84kg),"5'11""(180cm)",0-0,0-0,0,0,Career High 2023.05.29,264,"$17,860","$103,521",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
274,275,Nikolas Sanchez Izquierdo,199,24,,169lbs(77kg),"6'1""(185cm)",0-0,0-0,0,0,Career High 2022.09.19,238,"$20,882","$132,077",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
275,276,Timo Stodder,198,27,,160lbs(73kg),"5'11""(180cm)",0-0,0-0,0,0,Career High 2023.06.26,274,"$15,702","$73,796",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
276,277,James McCabe,197,20,,180lbs(82kg),"6'2""(188cm)",0-0,0-0,0,0,Career High 2023.04.24,270,"$51,683","$106,927",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
277,278,Steven Diez,196,32,2009,242lbs(110kg),"5'9""(175cm)",0-0,2-12,0,0,Career High 2019.11.18,134,"$23,035","$980,693",18,34,63%,62%,46%,81,53%,110,65%,56%,26%,53%,66,36%,117,21%,36%,46%
278,279,Moez Echargui,195,30,,160lbs(73kg),"5'10""(178cm)",2-0,4-4,0,0,Career High 2023.07.03,279,"$20,399","$122,583",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
279,280,Daniel Rincon,194,20,,187lbs(85kg),"6'1""(185cm)",0-2,0-2,0,0,Career High 2023.05.29,269,"$47,450","$104,826",6,13,54%,68%,41%,15,40%,22,59%,55%,33%,47%,14,29%,23,17%,37%,46%
280,281,Kacper Zuk,194,24,2016,169lbs(77kg),"6'0""(183cm)",0-2,3-7,0,0,Career High 2021.09.13,162,"$42,140","$351,519",29,19,61%,70%,45%,57,72%,69,77%,61%,22%,46%,41,17%,68,10%,31%,47%
281,282,Nino Serdarusic,192,26,2014,187lbs(85kg),"6'3""(191cm)",0-1,2-8,0,0,Career High 2022.06.27,167,"$45,692","$461,648",48,25,62%,72%,48%,59,64%,105,80%,63%,20%,41%,18,44%,103,8%,28%,47%
282,283,Miljan Zekic,191,34,,174lbs(79kg),"6'1""(185cm)",0-0,1-2,0,0,Career High 2016.07.11,188,"$42,412","$393,675",11,5,66%,68%,50%,25,68%,30,73%,62%,23%,42%,9,22%,30,7%,31%,48%
283,284,Max Houkes,191,23,,171lbs(78kg),"6'2""(188cm)",0-0,0-0,0,0,Career High 2023.05.08,278,"$18,238","$61,266",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
284,285,Alvaro Lopez San Martin,190,26,,154lbs(70kg),"5'10""(178cm)",0-1,0-1,0,0,Career High 2023.06.19,280,"$24,006","$129,792",4,3,68%,63%,25%,17,76%,8,50%,51%,24%,25%,1,0%,8,0%,24%,40%
285,286,Omar Jasika,189,26,,132lbs(60kg),"6'0""(183cm)",0-0,1-3,0,0,Career High 2023.01.30,223,"$31,258","$308,662",10,12,69%,64%,43%,39,51%,59,68%,58%,25%,49%,23,43%,59,17%,34%,46%
286,287,Elmar Ejupovic,188,30,,198lbs(90kg),"6'4""(193cm)",0-0,0-0,0,0,Career High 2023.04.17,273,"$25,967","$130,747",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
287,288,Joao Lucas Reis Da Silva,186,23,,165lbs(75kg),"5'10""(178cm)",0-0,0-0,0,0,Career High 2023.05.08,259,"$19,730","$100,310",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
288,289,Jason Jung,185,34,2011,152lbs(69kg),"5'11""(180cm)",0-0,11-23,0,0,Career High 2018.07.30,114,"$18,875","$1,098,635",100,77,66%,66%,50%,219,60%,339,74%,60%,26%,50%,172,35%,342,18%,35%,48%
289,290,Maks Kasnikowski,185,20,,171lbs(78kg),"5'11""(180cm)",0-1,0-1,0,0,Career High 2023.07.03,290,"$13,576","$38,864",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
290,291,Giovanni Fonio,185,25,,173lbs(78kg),"6'0""(183cm)",0-0,0-0,0,0,Career High 2023.05.29,276,"$20,315","$109,596",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
291,292,John Millman,184,34,2006,174lbs(79kg),"6'0""(183cm)",2-2,121-149,0,1,Career High 2018.10.15,33,"$124,661","$5,437,609","1,055",504,62%,68%,53%,"1,956",59%,"3,360",76%,62%,28%,50%,"1,800",41%,"3,321",22%,37%,50%
292,293,Dominik Palan,184,22,,187lbs(85kg),"6'3""(191cm)",0-0,0-0,0,0,Career High 2023.06.26,288,"$16,230","$54,855",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
293,294,Valentin Vacherot,184,24,,184lbs(83kg),"6'4""(193cm)",2-1,4-2,0,0,Career High 2022.09.19,261,"$44,306","$102,548",4,1,74%,60%,45%,14,71%,12,67%,56%,34%,39%,4,50%,12,17%,36%,47%
294,295,Valentin Royer,182,22,,189lbs(86kg),"6'2""(188cm)",0-0,0-0,0,0,Career High 2023.04.03,267,"$14,842","$62,608",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
295,296,Antoine Bellier,181,26,2014,184lbs(83kg),"6'5""(196cm)",0-1,5-8,0,0,Career High 2023.04.10,168,"$91,031","$307,481",63,43,63%,75%,43%,61,70%,96,81%,63%,25%,47%,37,38%,95,15%,32%,49%
296,297,Marek Gengel,180,27,,177lbs(80kg),"6'1""(185cm)",0-0,0-0,0,0,Career High 2023.01.16,148,"$7,051","$163,205",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
297,298,Goncalo Oliveira,180,28,2012,174lbs(79kg),"6'1""(185cm)",0-0,0-0,0,0,Career High 2017.12.25,194,"$27,097","$431,910",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
298,299,Dino Prizmic,179,17,,176lbs(80kg),"6'2""(188cm)",0-1,0-2,0,0,Career High 2023.06.19,289,"$22,251","$42,791",1,2,60%,49%,38%,15,33%,14,29%,45%,33%,56%,8,50%,15,27%,42%,43%
299,300,Hiroki Moriya,179,32,,143lbs(65kg),"5'6""(168cm)",0-0,3-11,0,0,Career High 2015.01.05,143,"$15,645","$1,001,220",29,41,62%,63%,46%,131,59%,163,67%,57%,25%,48%,67,45%,164,18%,34%,46%
300,301,Oriol Roca Batalla,179,30,,165lbs(75kg),"5'9""(175cm)",0-0,0-1,0,0,Career High 2015.08.03,139,"$11,348","$334,073",31,11,59%,73%,53%,24,79%,40,88%,65%,23%,42%,15,20%,38,8%,30%,49%
301,302,Skander Mansouri,179,27,,189lbs(86kg),"6'4""(193cm)",1-0,5-6,0,0,Career High 2022.12.12,191,"$7,129","$184,967",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
302,303,Ugo Blanchet,178,24,,149lbs(68kg),"5'9""(175cm)",0-0,0-0,0,0,Career High 2022.11.14,282,"$15,437","$83,412",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
303,304,Alibek Kachmazov,176,20,,173lbs(78kg),"6'1""(185cm)",0-0,0-0,0,0,Career High 2023.06.19,250,"$1,495","$91,634",5,8,56%,54%,49%,18,33%,26,54%,52%,34%,40%,19,26%,26,19%,36%,43%
304,305,Chun-Hsin Tseng,172,21,2019,143lbs(65kg),"5'9""(175cm)",1-4,9-18,0,0,Career High 2022.08.08,83,"$157,409","$797,976",47,78,59%,66%,48%,165,58%,243,71%,58%,23%,48%,120,27%,248,13%,32%,46%
305,306,Daniel Masur,171,28,2013,172lbs(78kg),"6'0""(183cm)",0-0,1-5,0,0,Career High 2022.03.07,176,"$20,411","$655,126",29,18,69%,67%,46%,50,64%,71,75%,60%,23%,49%,31,26%,72,11%,33%,47%
306,307,Evan Furness,171,24,,145lbs(66kg),"5'8""(173cm)",0-0,0-1,0,0,Career High 2022.10.03,197,"$38,550","$268,018",2,6,54%,72%,44%,10,50%,17,71%,59%,22%,64%,6,83%,17,29%,35%,49%
307,308,Guido Pella,170,33,2007,174lbs(79kg),"6'0""(183cm)",6-9,125-147,0,1,Career High 2019.08.19,20,"$309,463","$6,066,946","1,276",641,65%,68%,51%,"2,042",62%,"3,372",77%,62%,28%,51%,"1,914",37%,"3,367",21%,37%,50%
308,309,Maxime Janvier,170,26,2014,187lbs(85kg),"6'5""(196cm)",0-0,0-5,0,0,Career High 2019.09.30,170,"$18,272","$717,153",19,7,59%,67%,46%,47,53%,71,69%,58%,26%,42%,52,17%,71,13%,33%,46%
309,310,Juan Bautista Torres,170,21,,162lbs(73kg),"5'10""(178cm)",0-0,0-0,0,0,Career High 2022.08.01,226,"$13,429","$94,005",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
310,311,Henri Squire,170,22,,180lbs(82kg),"6'5""(196cm)",0-0,0-1,0,0,Career High 2022.08.15,287,"$36,533","$99,366",3,0,55%,91%,44%,1,0%,4,75%,70%,20%,33%,0,0%,3,0%,25%,50%
311,312,Filip Cristian Jianu,170,21,,171lbs(78kg),"5'11""(180cm)",2-0,3-1,0,0,Career High 2023.01.16,264,"$19,739","$115,813",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
312,313,Yunseong Chung,169,25,2017,171lbs(78kg),"5'10""(178cm)",0-0,0-0,0,0,Career High 2019.07.22,129,"$10,825","$203,847",6,0,67%,69%,47%,6,50%,15,80%,62%,19%,42%,3,33%,16,6%,27%,45%
313,314,Nicolas Alvarez Varona,168,22,,182lbs(83kg),"6'2""(188cm)",0-0,0-0,0,0,Career High 2022.10.17,284,,"$108,594",17,17,64%,69%,32%,26,54%,33,64%,56%,32%,56%,19,53%,31,32%,42%,49%
314,315,Mathias Bourgue,167,29,,183lbs(83kg),"6'2""(188cm)",0-0,1-4,0,0,Career High 2017.04.24,140,"$18,755","$811,259",20,12,65%,65%,45%,48,50%,75,68%,58%,32%,47%,51,25%,78,17%,38%,47%
315,316,Nam Hoang Ly,164,26,,152lbs(69kg),"5'9""(175cm)",2-0,5-4,0,0,Career High 2022.11.28,231,"$7,500","$100,571",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
316,317,Joao Sousa,163,34,2008,163lbs(74kg),"6'1""(185cm)",3-9,219-267,0,4,Career High 2016.05.16,28,"$181,098","$8,297,996","1,579",974,61%,69%,49%,"3,255",58%,"5,406",75%,61%,29%,48%,"3,044",37%,"5,443",21%,37%,49%
